,Artist,Title,Track_id,Year,Lyrics
0,Emerson_ Lake & Palmer,The Endless Enigma (Part 2),TRIZJKR128F92F9A12,1972,"Why do you stare?
Do you think that I care?
You've been misled
By the thoughts in your head

Your words waste and decay
Nothing you say
Reaches my ears anyway
You never spoke a word of truth

Why do you think
I believe what you said?
Few of your words
Ever enter my head

I'm tired of hypocrite freaks
With tongues in their cheeks
Turning their eyes as they speak
They make me sick and tired

Are you confused
To the point in your mind?
Though you're blind
Can't you see you're wrong?
Won't you refuse
To be used
Even though you may know
I can see you're wrong?
Please, please, please open their eyes
Please, please, please don't give me lies

I ruled all of the earth
Witnessed my birth
Cried at the sight of a man
And still I don't know who I am

Are you confused
To the point in your mind?
Though you're blind
Can't you see you're wrong?
Won't you refuse
To be used
Even though you may know
I can see you're wrong?
Please, please, please open their eyes
Please, please, please don't give me lies

I've seen paupers as kings
Puppets on strings
Dance for the children who stare
You must have seen them everywhere"
1,Frankie Valli And The Four Seasons,The Night,TRWFBPJ128F9351DC0,1972,"Beware of his promise
Believe what I say
Before the night is ending
Be sure of what you're saying

Cause he paints a pretty picture
And he tells you that he loves you
And he covers you with roses
And he always keeps you dreaming
If he always keeps you dreaming
You won't have a lonely hour
If the day could last forever
You might like your ivory tower

But the night begins to turn your head around
And you know you're gonna lose more than you found
Oh yeah the night begins to turn your head around

Beware of his promise
Believe what I say
Before I go forever
Be sure of what you're saying

Cause the words might come too quickly
If you really think I'm leaving
And goodbye might come too easy
If you really think he loves you
If you really think he loves you
You would give yourself completely
If the day could last forever
You would give yourself completely

But the night begins to turn your head around
And you know you're gonna lose more than you found
Oh yeah the night begins to turn your head around

(????)
And the night begins to turn your head around
Oh yeah you know you're gonna lose more than you found
Ma ma ma ma oh the night begins to turn your head around
Yeah yeah yeah yeah and you know you're gonna lose more than you found, oh"
2,Ry Cooder,Denomination Blues,TRCZYSZ128F933FDD2,1972,"(Washington Phillips) 

I wanna tell you people it's a nat'ral fact 
Ev'ry man don't understand the Bible alike
And that's all, I tell you that's all 
'Cause you better have Jesus 
I tell you that's all 

Well, the denominations have the right to fight 
They ought go on and treat each other right 
And that's all, I tell you that's all 
'Cause you better have Jesus 
I tell you that's all 

It's right to stand together, wrong to stand apart 
When none will enter heaven but the pure at heart 
And that's all, I'll tell you that's all 
'Cause you better have Jesus 
I'll tell you that's all 

Well, the primitive Baptists they believe 
That you can't go to heaven 'less you wash your feet 
And that's all, I'll tell you that's all 
'Cause you better have Jesus 
I tell you that's all 

Well, the African Methodists, they believe the same 
'Cause they know demonination ain't a thing but a name 
And that's all, I'll tell you that's all 
'Cause you better have Jesus 
I tell you that's all 

Well, people that jump from church to church 
You can bet their conversion don't amount too much 
And that's all, I'll tell you that's all 
'Cause you better have Jesus 
I tell you that's all 

Well, you can to your college, you can go to your school 
But if you ain't got Jesus, you'se (you are) an educated fool 
And that's all, I'll tell you that's all 
'Cause you better have Jesus 
I tell you that's all"
3,Atomic Rooster,Little Bit of Inner Air,TRBBMIF12903CA1EB0,1972,"Parnell

Voodoo power in the air
Mushroom's sticky sweet flower just siiting there
I gave some to my love and she lost all her hair
I aint got nothing to give now 'cept a little bit of inner air
Seven sunshine women in a bed
Imagaphonic idols and blow their heads
Black slipper crawled up thru' them but they just didn't care
'Cause I didn't have nothin' to offer them 'cept a little bit of inner air
Well I got somethin' ta say if you really want to get your way
Put voodoo in that dark red wine and this is what they'll say
They'll say really want for this and you tell 'em there's just a little bit of inner air"
4,The Dramatics,In The Rain,TRWMYSH12903CE6DAE,1972,"I wanna go outside in the rain
It may sound crazy
But I wanna go outside (go outside) in the rain

Now I, I think I'm gonna cry
And I, I don't want you to see me cry

I wanna go outside in the rain
It may sound crazy
But I wanna go outside in the rain

Once the rain starts fallin'
On my face (on my face)
You won't see (you won't see, ah)
A single trace (a single trace)

But the tears I'm cryin' (I'm cryin')
Because of you I'm cryin' (because of you)
Don't want you to see me cry
Let me go, let me go, let me go

Once the sun comes out
And the rain is gone away

I know I'm gonna see
A better day

But right now I think I'm cryin' (I'm cryin')
Because of you I'm cryin' (because of you)
Don't want you to see me cry (I'm cryin')
Let me go, let me go, let me go

In the rain (in the rain)
It might sound crazy, but
It might sound crazy, but
But I wanna go outside in the rain
I wanna go outside (I wanna go outside)
I wanna go outside (in the rain)
It may sound crazy
I said, it may sound crazy, but
But I wanna go outside in the rain

I wanna go outside (I wanna go outside)
I wanna go outside (in the rain)
It may sound crazy
I said, it may sound crazy
But I wanna go outside in the rain"
5,T.Rex,Rock On,TRLYSTY128F931009A,1972,"I've been down there 
Everybody's been there 
Everyone everyone 

Desolation angel 
On the cover of my paper 
Loves everyone everyone 

Rock on 
Rock on 

Mild mouthed Rita 
She's a Chevvy Chase cheetah 
Loves everyone everyone 

Teddy's going steady 
He's a silver-plated poet 
Loves everyone loves everyone 

Prophet pumped the car-scar 
Deeper only sweeter 
Loves everyone"
6,Sandy Denny,Bushes And Briars,TRAADUU128E0791BF5,1972,"I can't believe that it's so cold
And there ain't been no snow.
The sound of music it comes to me
From every place I go.
Sunday morning, there's no one in church
But the clergy's chosen man
And he is fine I won't worry about him
Got the book in his hand.
There's a bitter east wind and the fields are swaying
The crows are round their nests.
I wonder what he's in there saying
To all those souls at rest.
I see the path which led to the door
And the clergy's chosen man
Bushes and briars, you and I
Where do we stand?
I wonder if he knows I'm here
Watching the briars grow.
And all these people beneath my shoes,
I wonder if they know.
There was a time when every last one
Knew a clergy's chosen man
Where are they now? Thistles and thorns
Among the sand.
I can't believe that it's so cold
And there ain't been no snow.
The sound of music it comes to me
From every place I go.
Sunday morning, there's no one in church
But the clergy's chosen man
Bushes and briars, thistles and thorns
Upon the land."
7,Janis Joplin,Ego Rock,TROKBBZ128F426494F,1972,"Let's go, let's go let's go let's go. Peter you start it. Richard, you start it. Somebody start it.

I just had to get out on the Texas plane,
Lord, well it was bringing me down.
Yeah, I had to get out of Texas, baby,
Lord, it was bringing me down.
I been all around the world,
But Port Arthur is the worst place that I've ever found.

I guess they couldn't understand it there,
Honey, they'd laugh me off the street!
Lord, I guess they couldn't understand me, baby,
Honey, they'd laugh, I said they'd laugh me right off the street, yeah.
I said I want to keep on moving, baby,
Be the last person I ever wanna meet.

Yeah, yeah, yeah,
Honey ain't it hard when you're all alone.
Yeah, yeah, yeah, yeah, yeah,
Honey ain't it hard, Lord, when you're all alone.
I might die real old lady
But I'd never call Texas my home,
No, no, no, oh!

You say you come from Texas, baby,
She says she left Texas with just her name.
(That's what she told me.)
Yes she's from Texas I tell you,
She says she left Texas with just her name.
Yes, well I swear when that girl came to the big city
Lord, she learned a brand new game.
Well, yeah!

Honey, I hear you talkin' about sorrow,
Baby but you don't know my pain — that's right!
Mercy! Mercy!
I hear you talking about my sorrow,
You don't know my pain.
You know there's an inside kind of sorrow
Lord, the women are always singin' the blues.
All right, All right motherfucker, you sing!

You know I, I dealt the Ace to the Queen,
You know I played scrabble with L.B.J.
Yes, I dealt an Ace to the Queen,
Didn't I'll tell ya I's playin' scrabble with L.B.J.
Well, I don't care what the name of the game is, baby, I tell you
I always seem to get my way.

I used to be a doggone fool,
Fall for a woman's story every time.
— But no more, I swear —
Well, I used to be a, be a doggone fool,
Fall for that old woman's story every time.
Yes I, I'm a big boy now,
Yeah, they gotta come up with some kind of heavy line.
Well, well, yeah!

Sounds like I found the man
Who could take care of my time.
It ain't me babe, it ain't me babe!
It appears to me that I found a man
That could take care of my time.
Well, I got my own trouble, I got my own car,
I got my own little lady, I got my hotel,
Oh what are you talking about!
Don't try to take it!
Somebody talks as fine as he does
Oughta be able to take care of
One, two, three, four, five, six, seven, eight, nine.

Woman, woman, it just makes me mad.
Ahh!   Ahh! Woman, Yeah,
Woman,
Yeah,
Woman,
Yeah,
Woman,
Yeah,
Woman,
Yeah, yeah,
It just makes me mad
Oh man — shit, man...
Yes she played me for the fool I tell ya
Yes and I've got to love every man she's ever had, yeah.

If I found a man who could put me down the way you do
— I mean so handy-like, you know what I mean ?
Yeah, I found a man, whoa, who could put me down the way you do,
— I mean so easy like it was second nature, y'know what I mean, man ?
Ah maybe that man could help me
At least, honey I thought I would give you a chance
I said I, what I said I could try after the, after the show tonight maybe uh ...

I'm just a working man, you know
Ha ha ha ha, you don't work too hard, baby!
You know I ain't no Hollywood star.
— I'm not Joe Namath, you know,
I read about that in the papers today —
You know I'm just a working man
You don't work too hard, baby!
I never ran in a football game 200 yards
Ha ha ha ha ha, that's the kinda man I like, that's the kinda man I like.
But you know I can take care of those country girls
Well I can mess around in that farm-yard.
Lord, Lord, whoaah!!

Ha ha ha! ha. Whew! Whew! Wow! That's getting a little too close, too heavy here. That's Nick Gravenites, that was a tune called Ego Rock. No! ...

All right, rock, rock &amp; roll song."
8,Deep Purple,Highway Star,TRYVQOX128F92F57BA,1972,"Nobody gonna take my car, I'm gonna race it to the ground
Nobody gonna beat my car, it's gonna break the speed of sound
Ooh, it's a killing machine
It's got everything
Like a driving power, big fat tires and everything

I love it, and I need it, I feed it
Yeah, it's a wild hurricane
All right, hold tight, I'm a highway star

Nobody gonna take my girl, I'm gonna keep her to the end
Nobody gonna have my girl, she stays close on every bend
Ooh, she's a killing machine
She's got everything
Like a moving mouth, body control and everything

I love her, I need her, I seed her
Yeah, she turns me on
All right, hold tight, I'm a highway star

Nobody gonna take my head, I got speed inside my brain
Nobody gonna steal my head now that I'm on the road again
Ooh, I'm in heaven again
I've got everything
Like a moving ground, an open road and everything

I love it, I need it, I feed it
Eight cylinders, all mine
All right, hold tight, I'm a highway star

Nobody gonna take my car, I'm gonna race it to the ground
Nobody gonna beat my car, it's gonna break the speed of sound
Ooh, it's a killing machine
It's got everything
Like a driving power, big fat tires and everything

I love it, and I need it, I bleed it
Yeah, it's a mad hurricane
All right, hold tight, I'm a highway star
I'm a highway star
I'm a highway star"
9,Allen Toussaint,Gone Too Far,TRRQIQN128F1477C01,1972,"(Gone too far, gone too far)
You can't turn around
Because you (Gone too far)
Yes, you are
You've gone too far (Gone too far)
And you can't stop now
Because you've gone too far

You've gone too far
You've gone too far
(Can't turn around) No you can't
('Cause you've gone too far)
Gone too far, gone too far
(Can't turn around)
('Cause you've gone too far)
You've gone too far

Now when you get talkin'
All out your head
Remember one step from the livin'
Is a step towards the dead
And everybody gets down sometimes
But there ain't no need
In lettin' it blow your mind

Gone too far (Gone too far)
And you can't turn around
'Cause you've (Gone too far)
Everybody
(Gone too far, gone too far)
You can't stop now
'Cause you've gone too far

Don't cop out, nerves all bad
Life itself is a gas
Each and every day opens a new way
And that bum kick you got yesterday
Is just a thing of the past
Ain't that a gas, now tell me

(You've gone too far)
You know you (Gone too far)
Don't you know you can't turn around
Because you've (Gone too far)
Yes, you are, you're (Gone too far)
Gone, gone, gone (Gone too far)
You can't stop now
Because you've gone too far

You got to keep your mind together
You can't operate
When you're lighter than a feather
You've got the power
With your feet on the ground
Don't let the multitude get you down

(Gone too far, gone too far)
You can't turn around
'Cause you (Gone too far)
Listen here now, you've gone too far
Yes, you (Gone too far)
You can't turn around
'Cause you've gone too far

(Gone too far) Far
(Gone too far)
And you know you can't turn around
'Cause you've gone too far"
