,Artist,Title,Track_id,Year,Lyrics
0,Beginner,Scheinwerfer,TRIMSDJ128F92F44D2,2003,"Hamburg zwei-null-null-drei
Es ist dunkel hier, aber manche haben Scheinwerfer.
Ja, Mann, ja, ja, ja, ja
Deutschland im Dunkeln, dass sind Warsteiner- und Stoiber-Fans
und New-Balance-Botten, die abhotten zu Eurodance.
Das ist Partystimmung bei Grabschändern und Brandstiftern
und seit neustem hören die deutschrappende Tonguetwister.
Deutschland im Dunkeln ist die 6er-Packung Jever.
Die Tüten mit Videos voller Sex mit Lack und Leder,
Jede Menge Flachmänner, ein paar Waffen-Fachblätter,
denn der Spießer und seine Hand feiern Orgien im Verborgenen
Deutschland im Dunkeln, dass sind gebrochenene Nasen,
Vollkontakt, statt Kennenlernen, Motto des Abends
Hier 'ne Blonde Sippe, da 'ne Herde Primaten.
Aggro und unter Strom wie verzerrte Gitarren
Deutschland bei Nacht 'ne Plage wie Heuschrecken,
Einladend wie fremde Betten mit Keulflecken.
Ich seh' nur Nieselregen statt Liebesleben, 
statt Nächstenliebe Depressive, die sich mit Füßen treten.

(Refrain:)
Aber manche haben Scheinwerfer
und die haben 120 Kilowatt
Und sie fahren ihre eigenen Filme,
haben davon mehr als jedes Kino hat.

Deutschland im Dunkeln, dass sind glattgeleckte Innenstädte,
Menschenleer, nur Straßenfeger mit Pinzette,
Ansonsten registrieren die Bewegungsmelder 
nur die Typen vom Sicherheitsdienst auf dem Weg zu ihrem Bewährungshelfer.
Geschlossene Gesellschaft, bitte alle Tür'n versperren!
Sie wünschen sich den Führer her und gründen 'ne Bürgerwehr.
Geil auf Gesetze und im Fernseh'n laufen Strafverfahren.
Wo andre ein Herz haben, hat Deutschland 'ne Alarmanlage.
Deutschland im Dunkeln ist 'ne Arschkarte ziehen,
ist wie besoffen im Straßengraben zu liegen.
Tätowierte Polizisten die 'rumkommandieren 
und jedem der unter ihnen steht in den Mund onanieren.
Deutschland im Dunkeln die ganze Nacht zechen, Schnaps exen
in verstaubten, verrauchten und verbrauchten Gaststätten.
Gelittene, verbitterte saufende Dumm-Prolls.
Die Möbel wie die Gesinnung aus braunem Kunstholz,
oder im trauten Heim mit Möbeln aus Mahagoni.
Mama redet nie, Papa prügelt wie Trapattoni.
Sie ersticken in den vier Wänden in den sie leben
während wir die Dinge mit andern Augen sehen wie Chinesen.

(Refrain)

Ja, Deutschland im Dunkeln, in den Hügeln sind wieder Wandertage
und die Wiking-Kameraden marschier'n über Trampelfade
Formiert in Fackelzügen schwingen sie ihre Fahnen
Die Hemden glattgebügelt singen sie Lieder der Germanen
ums Feuer aufgereiht, ordentlich den Becher schwenken
hoch mit den rechten Händen und Rudolf Hess gedenken.
Doch gekommen sind sie aus einem ganz andern Grund:
Am Ende schieben sie sich kollektiv den Schwanz in den Mund.
Deutschland im Dunkeln was für ein wildes tolles Leben,
Konfettiregen, überall bilden sie Polonaisen. (Bei Nacht)
Am lautesten schrei'n die Pimmellosen, 
schwitzende Idioten, die stinken wie Pinkel-Proben.
'n Trauerzug statt Powermoves
Mit Leuten die Scheiße fressen, wie es 'n Staubsauger tut
ja viele müssen frier'n, trotz Treibhauseffekt.
Doch Licht an, Mann, jetzt wird ins deutsche Scheißhaus getagged!

(Refrain)

Das ist 'ne Kopfnuss in Cottbus,
oder n Anschlag in Darmstadt,
oder 'ne Schelle in Celle,
ein gebrochenes Schlüsselbein in Rüsselsheim,
und Flaschen mit Benzin 
in Maschen und Schwerin."
1,The Concretes,Warm Night,TRFMJIG128E0781679,2003,"follow you down on this warm night
down to a certain color
altough I'll make sure we fall on safe ground
I wouldnt lay your faith in my hands
snare me well with all your charms
bring out some amber to warm me
only kiss me if the light is right
otherwise we'll wait a while"
2,31Knots,Darling_ I,TRQFLPR128F92FBE55,2003,"More water
So the blood will not boil
setting course for
The crooked straights
Make me smile

The destination
is never where
I want to be

Thus what's spoken
Never has
Its own remorse

What I mean is I
offer no, no

Trust

Darling, I am letting go
Without a word to justify
'Cause studies show
More than half the time
We move our mouthes, we're full of shit

It's a renaissance of language
A renaissance of language
A renaissance of language
A renaissance

More water
So the blood will not boil
open road
Take us in and drive a while

A renaissance of language
A renaissance of language
A renaissance of language
A renaissance
We're full of shit
A renaissance"
3,goldenhorse,Northern Lights,TRSAQZQ128F1497489,2003,"Stones like these
Are just like fuel underground
You stop my feet
From floating up when I come down

I go up
And watch the world spinning round
But I came down

You can't see
That I'm like dust on the ground
The wind picks up
And then it blows me around

I go up
And watch the world spinning round
But I came down

Finding out the northern lights
Flicked up a single switch called rocket
Finding out the northern lights
Flicked up a single switch called rocket

Finding out the northern lights
The northern lights

Stones like these
Are just like fuel underground
You stop my feet
From floating up when I come down

I go up
And watch the world spinning round
But I came down

Finding out the northern lights
Flicked up a single switch called rocket
Finding out the northern lights
Flicked up a single switch called rocket

Finding out the northern lights

The northern lights
The northern lights
The northern lights
The northern lights

The northern lights
The northern lights
The northern lights
The northern lights"
4,Steven Delopoulos,Runaway Train,TREJGPO128F14A2CF3,2003,"I was riding on a runaway train
She was flying like a seagull
Caught wind and shadow, and I called out for her name
The rock, the bird, the steeple

She was looking for a Saturday dance
I was hoping not to mumble
Just then she took me, and she kissed me in a stance
Guess we're headed for a tumble
Whoa...
We're gonna turn the page

She was looking for a circular event
We were aware of the spiral
And paranoia made us social as cement
We faded in colors and styles

A cup of tea for the Mrs. Little Man
Me, I'll have me a whiskey
You should have seen us when we very first met
The gun, the hat, the risky

Looking back I think she took me for a ride
I thought that I was jiving on the water
Walking side by side
But every drama dreamer never really drowns and dies
'Cause drama dreamers tumble, but we fade
And then we fly high

I was riding on a runaway train
She was flying like a seagull
Caught wind and shadow, and I called out for her name
The rock, the bird, the steeple
The rock, the bird, the steeple
The rock, the bird, the steeple
Whoa..."
5,Dido,White Flag,TRALLSG128F425A685,2003,"I know you think that I shouldn't still love you or tell you that
But if I didn't say it, well I'd still have felt it, where's the sense in that?
I promise I'm not trying to make your life harder
Or return to where we were

But I will go down with this ship
And I won't put my hands up and surrender
There will be no white flag above my door
I'm in love and always will be

I know I left too much mess and destruction to come back again
And I caused nothing but trouble, I understand if you can't talk to me again
And if you live by the rules of ""it's over""
Then I'm sure that that makes sense

But I will go down with this ship
And I won't put my hands up and surrender
There will be no white flag above my door
I'm in love and always will be

And when we meet, which I'm sure we will
All that was there will be there still
I'll let it pass and hold my tongue
And you will think that I've moved on

I will go down with this ship
And I won't put my hands up and surrender
There will be no white flag above my door
I'm in love and always will be
I will go down with this ship
And I won't put my hands up and surrender
There will be no white flag above my door
I'm in love and always will be
I will go down with this ship
And I won't put my hands up and surrender
There will be no white flag above my door
I'm in love and always will be"
6,Cilla Black,Anyone Who Had A Heart (Late Night Version),TRWVDYE128F42B3DBF,2003,"Anyone who ever loved could look at me
And know that I love you
Anyone who ever dreamed could look at me
And know I dream of you
Knowing I love you so

Anyone who had a heart
Would take me in his arms and love me too
Who couldn’t be another heart that hurt me?
Like you hurt me and be so untrue
What am I to do?

Every time you go away I always say
This time it’s goodbye, dear
Loving you the way I do I take you back
Without you I’d die, dear
Knowing I love you so

Anyone who had a heart
Would take me in his arms and love me too
Who couldn’t be another heart that hurt me?
Like you hurt me and be so untrue
What am I to do?

Knowing I love you so

Anyone who had a heart
Would take me in his arms and love me too
Who couldn’t be another heart that hurt me?
Like you hurt me and be so untrue
Anyone who had a heart would love me too
Anyone who had a heart would simply take me
In his arms and always love me, why won’t you?
Yeah, anyone who had a heart would love me too
Anyone who had a heart would simply take me
In his arms and always love me, why won’t you?"
7,Eva Cassidy,God Bless The Child (Album Version),TRVWCLI128F42922ED,2003,"Them that's got shall get
Them that's not shall lose
So the Bible said and it still is news
Mama may have, Papa may have
But God bless the child who's got his own
Who's got his own

Yes, the strong gets more
While the weak ones fade
Empty pockets don't ever make the grade
Mama may have, Papa may have
But God bless the child who's got his own
Who's got his own

Money, you've got lots of friends
Hanging round your door
Then it's gone, and the money ends
They don't come around no more
Rich relations give
Crust of bread and such
You can help yourself baby
Oh don't you take too much
Mama may have, Papa may have
But God bless the child who's got his own
Who's got his own

Money, you've got lots of friends
Hanging round your door
Then it's gone, and the money ends
They don't come around no more
Rich relations give
Crust of bread and such
You can help yourself baby
Oh don't you take too much
Mama may have, Papa may have
But God bless the child who's got his own"
8,Linea 77,Alienation Is The New Form Of Zen,TRJYNRT12903CDD64F,2003,"Surprise
cover your eyes
green light from my tv-screens
in my hidden place i find a world
this mellow sound fucked up my mind
fucked up my mind
under a different light
silence fills my brain
from mind to suburbia
i've lost myself in

Alienation is the new form of zen
Smart people waiting for their turn with the cash

white noise in my brain
i don't understand
switch off all my senses
NUMB 'till tomorrow

under a different light
silence fills my brain
from mind to suburbia
i've lost myself in

Alienation is the new form of zen
Smart people waiting for their turn with the cash"
9,Devics,You in the Glass,TRPVJFT128F4220580,2003,"deep in the woods
it was grey all around
only one rose
that never was meant to be found
""this is for my love who is no longer here""
inside these words were written in ink and tears
first story from you
now you awake when I begin to dream
I open my eyes and you turn off machines


you should be here with me
I know you are near


in through my hearts twisting and winding chords
there is a place where love soaks in all it's pores
under the sea deep in it's water core
you will find me weightless and waiting


in a car at night for a long way home
the saddest song on the radio
her in your arms on the seat next to me
reflection in glass wishing she was me
all happy with you


cause you should be here with me
I know you are near
you should be here I know you are near"
10,Frankie HI-NRG MC,Le Perdute Ali Dell'Olecrano,TRRXKYB128F42905A3,2003,"Ogni giorno dobbiamo dedicare un po' di tempo a noi stessi, isolandoci dal mondo per un breve riposo rigenerante.
Raccogliamoci in noi stessi.
(oooohhhmmmm)
Stringiamo le mani a pugno, irrigidiamo tutti i muscoli del corpo, allentiamo i muscoli del polpaccio, portiamo l'attenzione della mente alla mano sinistra, pieghiamo la parete muscolare che separa la cavità della coscia da quella della spalla sinistra.
Portiamo il piede sinistro oltre il ginocchio sinistro, all'inizio possiamo appoggiare un dito a una parete, oppure la schiena e la colonna vertebrale alla spalla destra. 
Espiriamo lentamente. Spingiamo la spalla destra al torace con rotazione del gluteo, restiamo così con tutti i muscoli allentati.
Ripetiamo alternando l'atto.
La posizione del cobra non è per colui che mengia troppo o che non mangia affatto, né per colui che dorme troppo o che si mantiene desto in eccesso.
Addome a terra, mani giunte avanti al petto, in modo di essere abbandonati in posizione ferma e comoda. 
Inspirando gonfiamo leggermente prima l'addome, poi gli occhi, le reni, la nuca. La lingua, lunga, leggera, punta in basso, con la pianta contro il lato interno della coscia, per stimolare le emozioni intestinali. 
Chiaramente resta a terra sangue, mascelle e denti si allentano, il fegato non lo sentiamo quasi più.
Con la mano destra afferriamo il cervello, un senso di calore si diffonde nelle membra e nel corpo. Dall'osso pubico allo sterno un stato di benessere invade ogni cellula dell'organismo.
Se abbiamo difficoltà eseguiamo come possibile.

(Grazie a Giò per questo testo)"
11,Keith Sweat,Right And Wrong Way (Live Album Version),TRLYSZR128F92F247D,2003,"Mmm, oh'
My, my, my, my, my, my baby
You're mine, mine, mine, mine
I'm gonna love you right, girl

You may be young but you're ready
[Ready to learn]
You're not a little girl, you're a woman
[Take my hand] Let me tell you, baby

I'm yours for the takin'
So you can [Do what you please]
Don't take my love for granted
You're all I [I'll ever need]

Hold me, hold me in your arms
[Oh'baby] Never let me go

[There's a right and a wrong way to love somebody]
A right way to love somebody, to love me right
[There's a good and a bad way to love somebody]
There's a good, oh'whoa'oh'whoa'oh'
You do me good, ooh'.

So don't play no silly games with me, baby
[No, no, no, no, it's just not my fate] No, no, no
All I need is your loving here
[Hold me tight, baby, with the joy you can bring]

Mmm, take me I'm yours [Take me]
I'm willin' [Ooh, baby]
Hold me, hold me in your arms, hey, baby
[I don't want to let you go] Never let go
You, you're all I need in this world
[Oh'baby] Ooh, you got to know, you better know
You better know my, my baby

[There's a right and a wrong way to love somebody]
You know, you know mean the world to me, girl
[There's a good and a bad way to love somebody]
I'm gonna treat you good
Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah, baby, ooh, yeah

Ooh'ooh'hoo'ooh'ooh'ooh'ooh'ooh'
I want your lovin', girl, all night long, all night long, all night long, girl
We'll be like two lovers in a tree
Tweddle-lee-deeddle-lee-deedle-lee-dee
Me and you, girl [Whoa, whoa, whoa]
Ooh, you know my love is right, why can't you see
We'll love each other eternally, just you and me, baby
You're a big girl now
No more daddy's little girl"
12,Sam The Sham & The Pharaohs,Pharaoh A-Go-Go,TRGDHOL128F1461122,2003,"Whoa! Somebody help me!
Yeah!
Ow!
Come on, drive!
Yeah, here we go, get'em play roots!
Sick'em Frank!
Go, look!
Get'em Tod!
Whoa!
Yeah, go!
Oh, you burn it!
Go, Willy!
Yeah, knock it off!
Ha ha!
Ow!
Can't lose with the stuff we use!
Why does it have to happen to me?"
13,Autopilot Off,Raise Your Rifles,TRVZEGC128F92F6E8B,2003,"All my trials and tribulations
Have led me to one realization
That no matter where I've been
I'm still stuck inside my skin

And I'm not trying to be something I'm not
Letting their thoughts get in
Cause I won't end up twisted and insane

All those fears and reservations
Ended up as amputations
Cause no matter where I've been
I'm still stuck inside my skin

And I'm not trying to be something I'm not
Letting their thoughts get in
Cause I won't end up twisted and insane

And I'm not trying to be something I'm not
Letting their thoughts get in
Cause I won't end up twisted and insane

And all my insecurities
And my anxieties
Tore out my insides

And it took a while to find
That I don't really mind
Life on the outside

So take up your aim
And raise your rifles
Fire Away!
Cause I don't really care at all

And I'm not trying to be something I'm not
Letting their thoughts get in
Cause I won't end up twisted and insane

And I'm not trying to be something I'm not
Letting their thoughts get in
Cause I won't end up twisted and insane"
14,Karl Bartos,Life,TRHTZDR128F427F938,2003,"We've had a good time
Easy living like on a summerday
We got along fine
Even though we haven't had a lot to say
It's been alright
But much to my regret
I know that if I remain by your side
I might as well be dead

So glad we made it
Time will never change it
But finally 
I have to get on with my life

Life is a game
That one plays according to the rules
Forget my name
Maybe it will help you feeling cool
I have to move out
Got to carry on
Don't you know that only time will tell
If I'm right or wrong ?

So glad we made it
Time will never change it
But finally 
I have to get on with my life

I feel a rush in my blood
While I listen to the sound of music
Who you are and what you want to be
It doesn't matter much to me

So glad we made it
Time will never change it
But finally 
I have to get on with my life

Finally
I have to get on with my life
Finally
I have to get on with my life
Finally
I have to get on with my life
Finally
I have to get on with my life"
15,Deepest Blue,Give It Away,TRMVDZE128F426A0F0,2003,"(Verse 1)
I never return to love somebody
Now all that I need is all I see in you
And only you
And if you get lost I'll always find you
You're all that I need your heart will keep you true
My only you

(Bridge)
You make me fall and I can't sleep
You want it all but it's too deep
And I can't give it away
I just can't give it away

(Chorus 1)
When you slowly close your eyes
We play the moment in your life
Just give it away
Just give it away
When you slowly close your eyes
We play the moment in your life
Just give it away
Just give it away

(Verse 2)
Don't ever forget to tell somebody
The feelings inside to make your dreams come true
I dream of you
To feel so alive and want somebody
It's not make believe my world would be for you
And only you

(Bridge)
You make me fall and I can't sleep
You want it all but it's too deep
And I can't give it away
I just can't give it away

(Chorus 2)
When you slowly close your eyes
We play the moment in your life
Breathe in and give it away
Breathe out and give it away
When you slowly close your eyes
We play the moment in your life
Breathe in and give it away
Breathe out and give it away

(Repeat Bridge and Chorus 2 till end)"
16,Kotipelto,Reasons,TRWNTNU12903CF213C,2003,"Can't you hear me awaiting
Listen to the sounds of your mind
and everything I've been saying
don't you see or are you blind?

These are the reasons- Take a look around
Another season- all the things you've found
These are the reasons- lying on the ground

Hear me call your name
All the things I say

Can't you see me walking
I'm trying to find my way to you
And all the things I've been saying
Are from my heart tried and true

These are the reasoons- Take a look around
Another season- all the things you've found
These are the reasons- lying on the ground

Hear me call your name
All the things I say"
17,Franz Ferdinand,Take Me Out,TRQUVRL128F4260322,2003,"So if you're lonely
You know I'm here waiting for you
I'm just a cross-hair
I'm just a shot away from you

And if you leave here
You leave me broken, shattered I lie
I'm just a cross-hair
I'm just a shot, then we can die
Aah...

I know I won't be leavin' here with you 

I say don't you know
You say you don't know
I say... take me out! 

I say you don't show
Don't move, time is slow 
I say... take me out! 

I say you don't know
You say you don't go
I say... take me out!

If I move, this could die
Eyes move, this can die
I want you... to take me out!

I know I won't be leaving here with you
Oh, I know I won't be leaving here
I know I won't be leaving here with you
I know I won't be leaving here with you

I say don't you know
You say you don't know
I say... take me out!

If I wane, this could die
I wait, this could die
I want you to take me out

If I move, this could die
Eyes move, this can die
Come on... take me out!

I know I won't be leaving here with you
Oh, I know I won't be leaving here
I know I won't be leaving here with you
I know I won't be leaving here with you"
18,Dakona,Trampoline (Album Version),TRAJGHR128F1477E97,2003,"Had this dream
I was lying on my back on a trampoline
Floating by are the peaches and tangerines
Tempting me but, baby I believe in planting seeds
And I believe that something beautiful's gonna to grow from me

Chorus: 
Nothing to win and everything to lose
Standing on the sidewalk 
My toes are tapping inside my shoes
He asked me when he asked me what, he asked me all about 
Do you believe in God, do you believe in . . .

Call it strange or label it a lie, baby either way
I've got a hand to hold and love to show for all of my days
What a scene she's jumping up and down on a trampoline

But she's only going to jump
Gonna reach, gonna fly as high as her disbelief 

chorus

And I have found my high and I would rather not be anywhere but here
'Cause I am human just like you, but I'm afraid I'm just a stranger here

chorus"
