,Artist,Title,Track_id,Year,Lyrics
0,Bobby Darin,Do Nothin' Till You Hear From Me (LP Version),TRCOTCL128F1477D03,1964,"Do nothin' till you hear from me
Pay no attention to what's said
Why have people tear the seam of anyone's dreams?
Is way over my head

Do nothin' till you hear from me
Atleast consider our romance
If you should take the word of [Incomprehensible] you've heard
I haven't a chance

True I've been seen with someone new
But does that mean that I'm untrue?
When we're apart the words in my heart
Reveal how I feel about you

Some kiss me, cloud my memory
And other arms may hold a thrill
Please do nothin' till you hear it from me
And you know you never will

True I've been seen with someone new
But does that mean that I'm untrue?
When we're apart the words in my heart
Reveal how I feel about you

Some kiss me, cloud my memory
And other arms may give me a thrill
Don't do nothin' till you hear it from me
And you never will"
1,Buddy Holly,You're The One,TREOCCH128F9350130,1964,"You're the one - that's a-causing my blues 
you're the one - I don't want to lose 
you're the one that I'd always choose 
you're the that's meant for me 

You're the one - that I'm thinking of 
you're the one - that I'll always love 
you're the one - sent from heaven above 
you're the one that's meant for me 

Sometimes you make me feel so bad 
you make me cry deep in my heart 
I feel like an actor in a play 
who doesn't fit the part 

You're the one - and I want you to know 
you're the one - that thrills a-me so 
you're the one - I can't let you go 
you're the one that's meant for me"
2,Bobby Vinton,Trouble Is My Middle Name,TRJGFJB128F4265954,1964,"Hello, little girl, goodbye, little girl 
I'm not your kind of guy, little girl 
I'll only make you cry, little girl 
Trouble (trouble, trouble, trouble, trouble) is my middle name 

Each kiss, little girl, is sweet, little girl 
They sweep me off my feet, little girl 
But no more must our lips meet, little girl 
Trouble (trouble, trouble, trouble, trouble) is my middle name 

I'm just a born wanderer driftin' by one day 
Each place that I've been, heartbreak moved in 
So I'll move on my way 

In time, little girl, you'll find, little girl 
I've been really kind, little girl 
Not changing your name to mine, little girl 
Trouble (trouble, trouble, trouble, trouble) is my middle name 

Not changing your name to mine, little girl 
Trouble (trouble, trouble, trouble, trouble) is my middle name 

Oh, trouble (trouble, trouble, trouble, trouble) is my middle name 
FADE 
Yes, trouble (trouble, trouble, trouble, trouble) is my middle name"
3,Bukka White,Army Blues,TRUNUSH12903D1200C,1964,"When Uncle Sam take all your men
And boys to war
I'm 'onna be just like a coon
When Uncle Sam take all your men
And boys to war
Boys, I'm 'onna be just like a coon
Ev'ry mornin' before the moon go down
I won't start a-tappin 'fore around I roam

Uncle Sam leave me alone
I got to watch these pretty women
While the other men is gone
Uncle Sam leave me alone
I got to watch these pretty women
While the other men is gone
Now, it's one thing I will do, Uncle Sam
I'll write you when one of these women
Treat me wrong

I don't want none a-these women
Start to fuss an fightin' over me
'Cause, you know Uncle Sam
Believe Bukka goin' behind
Don't you women start to fussin'
And fightin' over me
'Cause Uncle Sam believe
Bukka goin' behind
If I don't get around to the women
In the daytime
Old Bukka will be 'round 'fore the sun go down

Babe, I don't want ya'all women
Start a-fussin' an fight
Don't start a-fussin', an fightin' over me
I don't want none-a you women start to fussin'
Fightin' over me
All I want you to do is let me take my time
Meet me uptown on a Friday or Saturday, baby
I be trampin' on later at Piney down

I think I'm gon' have to write Uncle Sam
Tell him to send me one or two more men
Back behind
I think I'm gonna have to start to writin'
Uncle Sam
Tell him to send one or two more men
Back behind
I done got to the place
I done got to the place, baby
I can't even make it around
Befo' the sun go down

Uncle Sam, Uncle Sam
Uncle Sam's train be on the track
Early time
Uncle Sam's train, Uncle Sam's train
Come in early in the mornin'
It will be on the track
I want you women to go down there
Into Union Station in the mo'nin
Make like you be in mournin'
Be glad when they gone"
4,Martha & The Vandellas,Dancing In The Street,TRNEKOD128EF34997F,1964,"Callin' out around the world
Are you ready for a brand new beat
Summer's here and the time is right
For dancing in the street

They're dancing in Chicago (chicago echo)
Down in New Orleans (down in New Orleans echo)
In New York City
All we need is music, sweet music
There'll be music everywhere

There'll be swingin' and swayin' and records playing
Dancing in the street

Oh it doesn't matter what you wear
Just as long as you are there
So come on ev'ry guy grab a girl
Everywhere around the world

There'll be dancing
Dancing in the street

It's just an invitation across the nation
A chance for folks to meet
There'll be laughing, singing and music swinging
Dancing in the street

Philadelphia, PA
Baltimore and D.C. now
Can't forget the Motor City
All we need is music, sweet music
There'll be music everywhere
There'll be swingin', swayin' and records playing
And dancing in the street

Oh, it doesn't matter what you wear
Just as long as you are there
So come on, every guy grab a girl
Everywhere around the world

There'll be dancing
Dancing in the street
Way down in L.A., every day
Dancing in the street
Across the ocean too, me an you
Dancing in the street"
5,Jerry Herman,Put On Your Sunday Clothes,TRRSIKH128F930FC12,1964,"[Cornelius]
Out there
There's a world outside of Yonkers
Way out there beyond this hick town, Barnaby
There's a slick town, Barnaby
Out there
Full of shine and full of sparkle
Close your eyes and see it glisten, Barnaby
Listen, Barnaby...

Put on your Sunday clothes, there's lots of world out there
Get out the brillantine and dime cigars
We're gonna find adventure in the evening air
Girls in white
In a perfumed night
Where the lights are bright as the stars!
Put on your Sunday clothes, we're gonna ride through town
In one of those new horsedrawn open cars

[Cornelius and Barnaby]
We'll see the shows
At Delmonico's
And we'll close the town in a whirl
And we won't come home until we've kissed a girl!

[Dolly]
Put on your Sunday clothes when you feel down and out
Strut down the street and have your picture took
Dressed like a dream your spirits seem to turn about

[Both]
That Sunday shine
Is a certain sign
That you feel as fine as you look!

[Dolly and Ambrose]
Beneath your parasol, the world is all a smile
That makes you feel brand new down to your toes

[Dolly, Ambrose, Cornelius, and Barnaby]
Get out your feathers
Your patent leathers
Your beads and buckles and bows
For there's no blue Monday in your Sunday clothes!

[Townspeople]
Put on your Sunday clothes when you feel down and out
Strut down the street and have your picture took
Dressed like a dream your spirits seem to turn about
That Sunday shine is a certain sign
That you feel as fine as you look!
Beneath your parasol, the world is all a smile
That makes you feel brand new down to your toes
Get out your feathers
Your patent leathers
Your beads and buckles and bows
For there's no blue Monday in your Sunday clothes!

Beneath your bowler brim the world's a simple song
A lovely lilt that makes you tilt your nose
Get out your slickers, your flannel knickers
Your red suspenders and hose
For there's no blue Monday in your Sunday clothes!

[Dolly]
Ermengarde, stop sniveling - Don't cry on the valises!
We haven't missed the train, thank the Lord!
Lovely, you're improving - Now get all 11 pieces, 
We're 7 minutes late.
All Aboard!

All
All Aboard! All Aboard! 
All Aboard! All Aboard!
Put on your Sunday clothes there's lots of world out there
Put on your silk cravat and patent shoes
We're gonna find adventure in the evening air
To town we'll trot
To a smoky spot
Where the girls are hot as a fuse!
Put on your silk high hat and at the turned up cuff
We'll wear a hand made grey suede buttoned glove
We'll join the Astors
At Tony Pastor's
And this I'm positive of
That we won't come home
That we won't come home
No we won't come home until we fall in love!

Put on your silk high hat and at the turned up cuff
We'll wear a hand made grey suede buttoned glove
We'll join the Astors
At Tony Pastor's
And this I'm positive of
That we won't come home
That we won't come home
No we won't come home until we fall in love!"
6,Skip James,Drunken Spree,TRQOGRE128F92F8763,1964,"Skip James Drunken Spree early version


I love my darlin' yes I do
I love her 'til the sea go dry
And if I thought she didn't love me
I'd take morphine and die

It was late last night when Willie come home
She made one rap on the door
 ""Is that you Willie? I'd like to know
Darlin' don't you rap no more""

The last good word I heard my mother say
Sonny come hold my hand/head
Oh me, oh my never let a dollar by

I pawned my watch an' I pawned my chain
I pawned my gold diamond ring
If that don't settle my drunken spree
Lord I'll never drink no more

You had me ??darn?? my ??? ??? 
An' all my dirty clothes
It was late last night when Willie come home
She made one rap on the door
 ""Is that you Willie? I'd like to know
Darlin' don't you rap no more""


I love my darlin' yes I do
I love her 'til the sea go dry
And if I thought she didn't love me
I'd take morphine and die"
7,The Animals,Baby Let Me Take You Home,TRJVLSA128E078E076,1964,"Baby can I take you home
Baby let me take you home
I'll love you all my life
You can bet I'll treat you right 
If you'll just let me take you home

Baby can I dance with you
Baby can I dance with you
I'll do anything in this God Almighty world
If you'll just let me dance with you

Baby let me take you home
Baby let me take you home
I'll love you all my life
You can bet I'll treat you right 
If you'll just let me take you home

When I saw you baby 
I couldn't ignore you 
And I wanted you for my girl
And when you said 'yeah'
I just couldn't care about
Anybody else in this world alone
You smiled at me baby 
And I could see my life 
Planned out ahead
You took my hand and it felt so good
And this is what you said

'Baby won't you be my man
Baby won't you be my man'
Yes, I'll be your man
And I'll do the best I can
I want to be your man
That's all baby
Oh, c'mon c'mon baby
Baby, feel alright
Hey baby, its alright
So good
It's all right"
8,Cornelis Vreeswijk,Min polare Per,TRBBNBO128E0795075,1964,"Min polare Per är borta,
Han finns inte längre här.
Han kom i ett gräl tillkorta
Med den som han hade kär.
Hon sa: ""Stick iväg på stubben!
Stick inte hit snoken igen!""
Så Per tog sin Mats ur skolan kan jag tro
För jag har inte sett 'en sen.
För jag har inte sett 'en sen.

Min polare Per har stuckit sin kos,
Och jag undrar hur han kan ha't.
Han blev blåst av bruden som han bodde hos,
Och jag tror han blev desperat.
Kanhända han stuckit till sjöss igen,
Till Siam och Singapore.
Eller också har han bara låst in sig nånstans
För att klämma en stilla tår.
För att klämma en stilla tår.

Är polaren Per på torken?
Det kunde man nästan tro.
Att han dränkt sin sorg under korken
För att få någonstans att bo.
Han kan ha tagit in på ett billigt hotell
Och kört med en billig vals.
Men det kan också tänkas att han gått på nån krog,
Och då är det ingen fara alls.
Och då är det ingen fara alls.

Är det nån som har sett min polare Per,
Han är skyldig mig femti spänn.
Han vart blåst av bruden som han hade kär,
Och jag har inte sett 'en sen.
Det vore inte dumt att få tag i karl'n
Och få säga ett ord eller två.
Det är klart det är marigt att bli blåst av en brud,
Men man kan väl ta det lugnt ändå?
Men man kan väl ta det lugnt ändå?

Jag har sökt polaren Per överallt,
Jag har sökt genom hela stan.
Jag har sökt 'en på Norr och på Söder,
Jag har sökt 'en i Gamla Stan.
För polaren Per är min polare,
Det kommer man ej ifrån,
Och vad tror du hans gamla mamma ska säga
När hon saknar sin ende son?
När hon saknar sin ende son?"
9,Mary Wells,My Guy,TRJHZGS12903CE9854,1964,"Nothing you can say can tear me away
From my guy
Nothing you could do, 'cause I'm stuck like glue
To my guy

I'm sticking to my guy like a stamp to a letter
Like birds of a feather we stick together
I'm tellin' you from the start
I can't be torn apart from my guy

Nothing you could do could make me be untrue
To my guy  (my guy)
Nothing you could buy could make me tell a lie
To my guy (my guy)

I gave my guy my word of honor
To be faithful and I'm gonna
You'd best be believing
I won't be deceiving my guy

As a matter of opinion, I think he's tops
My opinion is he's the cream of the crop
As a matter of taste to be exact
He's my ideal as a matter of fact

No muscle bound man could take my hand
From my guy (my guy)
No handsome face could ever take the place
Of my guy (my guy)

He may not be a movie star
But when it comes to being happy, we are
There's not a man today who can take me away
From my guy

No muscle bound man could take my hand
From my guy  (my guy)
No handsome face cCould ever take the place
Of my guy (my guy)

He may not be a movie star
But when it comes to being happy, we are
There's not a man today who can take me away
From my guy (what'cha say?)

There's not a man today who could take me away
From my guy (Tell me more!)
There's not a man today who could take me away
From my guy"
