,Artist,Title,Track_id,Year,Lyrics
0,Leroy Hutson,Give This Love A Try,TRKZFOD128F1473B75,1974,"You are my everything
My summer, my winter
Fall and the spring

For you, I'll surely try
Cause you make me pull the love inside

So give this love a try girl
Let me tell you why, girl
Cause youre the one that I've been waiting for

So think it over, don't be rash
Don't let this let this good love pass
Why won't you give me a try

You love me, you know I love you
And every hour, that undying love I'll brew

I'll never, never make you cry
And the good times
And the bad times
I'll be standing by

So, give this love a try girl
Let me tell you why, girl
'cause youre the one that I've been waiting for

So, think it over, don't be rash
Don't let this let this good love pass
Why won't you give me a try

So, think it over, don't be rash
Don't let this let this good love pass
Why won't you give me a try

Whoo (So give this love a try girl
Let me tell you why, girl
Cause youre the one that I've been waiting for)
You oughta think it over (So give this love a try girl
Let me tell you why, girl
Cause youre the one that I've been waiting for)
Love, Love, Love
You oughta Give this love a try"
1,Argent,Thunder And Lightning,TRMWHGM128F9341D87,1974,"There are times when you feel so good
That the only way to move is down
You're feeling fine, looking like a king
Then you turn around and you're painted like a clown.

Nights you feel you're about to win
The gold in your pocket turns to tin.

Thunder, lightning, striking again and again and again and again
Thunder and lightning striking me down.

You play the game and you just can't lose
And you're walking with your feet off the ground
Every ball seems to hit the net
Every penny that you save becomes a pound.

Just when you find peace of mind
Just look around and what do you find?

Thunder (thunder, thunder, thunder) lightning (lightning, lightning, lightning)
Striking (striking, striking, striking) again and again and again and again 
Thunder and lightning striking me down.

Well you play the game and you just can't lose
And you're walking with your feet off the ground
Every ball seems to hit the net
Every penny that you save becomes a pound.

Just when you find peace of mind
Just look around and what do you find ?

Thunder (thunder, thunder, thunder) lightning (lightning, lightning, lightning)
Striking (striking, striking, striking)  again and again and again and again
Thunder and lightning striking me down.

Thunder (thunder, thunder, thunder) lightning (lightning, lightning, lightning)
Striking (striking, striking, striking)  again and again and again and again
Thunder and lightning striking me down."
2,George McCrae,I Get Lifted,TRVTCRA128F429F027,1974,"Sittin' here together, baby we're all alone
Now I can tell ya, girl, you turn me on
I get lifted up hi-high - hi-high
I get lifted up hi-high - hi-high

Bring out the lovin', lovin' desire, baby
You got the match, oh that lights the fire
I get lifted up hi-high - hi-high
I get lifted up hi-high - hi-high

Mama-mama, mama-mama
Mama-mama, mama-mama

I get lifted up hi-high - hi-high
I get lifted up hi-high - hi-high

Mama-mama, mama-mama
Mama-mama, mama-mama

Sittin' on the corner, waiting for your love light..."
3,Dan Fogelberg,There's A Place In The World For A Gambler,TRTYRYF128F931D470,1974,"There's a place in the world
For a gambler
There's a burden that only
He can bear
There's a place in the world
For a gambler,

And he sees
Oh, yes he sees...
And he sees
Oh, yes he sees...

There's a song in the heart
Of a woman
That only the truest of loves
Can release.
There's a song in the heart
Of a woman.

Set it free
Oh, set it free
Set it free
Oh, set it free
Set it free
Oh, set it free.

There's a light in the depths
Of your darkness
There's a calm at the eye
Of every storm.
There's a light in the depths
Of your darkness.

Let is shine
Oh, let it shine
Let is shine
Oh, let it shine
Let is shine
Oh, let it shine.

Let it Shine"
4,Bob Dylan,Forever Young,TRQNYMS128F426A501,1974,"May God bless and keep you always,
May your wishes all come true,
May you always do for others
And let others do for you.
May you build a ladder to the stars
And climb on every rung,
May you stay forever young,
Forever young, forever young,
May you stay forever young.

May you grow up to be righteous,
May you grow up to be true,
May you always know the truth
And see the lights surrounding you.
May you always be courageous,
Stand upright and be strong,
May you stay forever young,
Forever young, forever young,
May you stay forever young.

May your hands always be busy,
May your feet always be swift,
May you have a strong foundation
When the winds of changes shift.
May your heart always be joyful,
May your song always be sung,
May you stay forever young,
Forever young, forever young,
May you stay forever young."
5,Barclay James Harvest,Paper Wings,TRYFNQU128F4238316,1974,"His crazy frame against the dawn
His hungry leap and ragged fall
A suicidal perch is now laid bare
To searching eyes and empty stares 
A fearful silence hits the crowd
The air hangs heavy with the sound
Of useless wings against the morning sky
As paper yields before their eyes 

Oh, can you see him now?
A broken man without a dream
Oh, can you hear him now?
A futile laugh above the screams"
6,Willie Hutch,Give Me Some Of That Good Old Love,TRHVSBB128F148D243,1974,"Coochie coochie ahh
Coochie coochie ahh

Ah baby, give me
(Give me)
Give me some of that good old love sugar, sugar
(Gimme, gimme, gimme, gimme, gimme, gimme, gimme)

Oh baby, give me
(Give me)
Well
Give me some of that good old love
(Gimme, gimme, gimme, gimme, gimme, gimme, gimme)
Yeah, yeah

Oh, let me make you feel fine
'Cause loving you just blows my mind, yeah
The love I feel for you girl is true
So let me, let me, let me, let me, oh baby
Let me make love to you, you, you, you, you

Oh baby, give me
(Well, sure sugar)
Give me some of that good old love, yeah, yeah
(Gimme, gimme, gimme, gimme, gimme
Gimme, gimme, gimme, gimme)
'Caues baby, lovin' you is all I need

(Gimme, gimme, gimme, gimme, gimme
Gimme, gimme, gimme, gimme)
Yee, yee, yee baby, yeah
(Gimme, gimme, gimme, gimme, gimme
Gimme, gimme, gimme, gimme)

Well
(Gimme, gimme, gimme, gimme, gimme, gimme)
Give me your soul
(Gimme, gimme, gimme)
(Gimme, gimme, gimme, gimme, gimme, gimme)
Give me your soul
(Gimme, gimme, gimme)

Give me your soul
Give me your soul
Well, give me your soul
Give me your soul

Oh, let me make you feel fine
'Cause loving you just blows my mind
This love I feel for you girl is true
So let me, let me, let me, let me, oh baby

Let me make love
(Let me make love)
To you, you, you, you, you
(Let me make love)

Oh baby, give me, sure sugar
Give me some of that good old love
Well
(Gimme, gimme, gimme, gimme, gimme
Gimme, gimme, gimme, gimme)

Oh baby, give me, ooh
(Give me)
Give me some of that good old loving girl
(Gimme, gimme, gimme, gimme, gimme
Gimme, gimme, gimme, gimme)

Darling give me
(Give me)
Oh, now baby, give me
(Gimme, gimme, gimme, gimme, gimme
Gimme, gimme, gimme, gimme)
Oh woman, give me
(Give me)

Give me some of that good old loving girl
(Gimme, gimme, gimme, gimme, gimme
Gimme, gimme, gimme, gimme)
Ohh baby, give me
(Give me)

Oh baby, won't you give me girl
(Gimme, gimme, gimme, gimme, gimme
Gimme, gimme, gimme, gimme)
Ohh baby
(Give me)
Oh, give me some of that good old love"
7,KC And The Sunshine Band,Do It Good,TRHJAXS128F930A088,1974,"Baby, turn it loose
Let me have it, give it to me
Baby, turn it loose
Don't be lonely, two times three

Just do it
Come on and do it
Ha, do it good
Alright

Let it out, give me love and affection
Send me in the right direction
Love, there's nothing to it
Come on, come on, come on, come on, come one
You can do it

Ow do it, ow do it
Do it good
Alright
Come on do it
Come on come on do it
Ha do it good
Oh ah ow

Ow do it
Come on and do it
Do it good, alright

Baby, I know you can do it
Just do it good, oh
Lay some lovin', some lovin' on me
Just do it good
Do it good

Come on come on come on baby
Do it good
Come on come on come on baby
Do it good
Come on come on come on baby
Do it good
Come on come on come on baby
Do it good
Come on come on come on baby
Do it good"
8,Mott The Hoople,Walking With A Mountain,TRDCDEH12903CB152E,1974,"A mountain train's coming down the track
She ain't wasting time
She's carrying me cause I'm going back
Right to the Delaware line
She knows well I ain't been anywhere
Because I crawl back every time to her
Walkin' with a mountain
Walkin' with a mountain

Troubles and tears
I'll take it in years
I left so many behind
I may be a train rearranged
Who knows what I'll find
But everything's better in my life I know
I can face any grades that I'm on
Walkin' with a mountain
Walkin' with a mountain
(alright)
(hey hey hey)

(oh) I'm walkin' with a mountain
Walkin' with a mountain
When she talks to me I know she sees
Where I'm heading to
She sits winks takes it all in
Just admires the view
And if I had a choice in life
I'd take that mountain for my wife
I'm walkin' with a mountain
Walkin' with a mountain
Walkin' with a mountain
Walkin' with a mountain
Walkin' with a mountain
Walkin' with a mountain
Walkin' with a mountain
Walkin' with a mountain
Jumping Jack Flash it's a gas
Jumping Jack Flash it's a gas
Jumping Jack Flash it's a gas
Jumping Jack Flash it's a gas
Jumping Jack Flash it's a gas
Jumping Jack Flash it's a gas"
9,Mac Davis,Stop And Smell The Roses,TRUCINT128F4267CA0,1974,"Hey Mister
Where you going in such a hurry
Don't you think it's time you realized
There's a whole lot more to life than work and worry
The sweetest things in life are free
And there right before your eyes
You got to Stop and Smell the roses
You've got to count your many blessings everyday
You're gonna find your way to heaven is a rough and rocky road
If you don't Stop and Smell the roses along the way
Before you went to work this morning in the city
Did you spent some time with your family
Did you kiss your wife and tell her that she's pretty
Did you take your children to your breast and love them tenderly
You got to Stop and Smell the roses
You've got to count your many blessings everyday
You're gonna find your way to heaven is a rough and rocky road
If you don't Stop and Smell the roses along the way
Did you ever take a walk through the forest
Stop and dream a while among the trees
Well you can look up through the leaves right straight to heaven
You can almost hear the voice of God
In each any every breeze
You got to Stop and Smell the Roses
You've got to count your many blessings everyday
You're gonna find your way to heaven is a rough and rocky road
If you don't Stop and Smell the Roses along the way
You got to Stop and Smell the roses
You've got to count your many blessings everyday
You're gonna find your way to heaven is a rough and rocky road
If you don't Stop and Smell the roses along the way"
