,Artist,Title,Track_id,Year,Lyrics
0,Timbuk 3,Life Is Hard,TRTQDAY128F92D5383,1986,"Betty's in a wet T-shirt, feeling foolish and vain
Looking like some house cat that got caught out in the rain
Staring into the mirror at this less-than-pretty picture
Feeling ten years older now, and fifty bucks richer
 
Life is hard
Can't buy happiness no matter what you do
Can't get to heaven on roller skates
Can't take a taxi cab to Timbuktu
 
Paul was a poor little rich boy, he never had to cry
Whenever he complained of aches and pains, the doctors would drop by
Now he goes to parlors with the prettiest girls in town
Get paid five hundred dollars just to kick him when he's down
 
Life is hard
Can't buy happiness no matter what you do
Can't get to heaven on roller skates
Can't take a taxi cab to Timbuktu

Life is hard
Life is hard
Life is hard
Can't buy happiness no matter what you do
Can't get to heaven on roller skates
Can't take a taxi cab to Timbuktu

After he stiffed a waitress, and ran out on his tab
Big Mac had a heart attack in the back of a yellow cab
By the time the sound of the siren said the ambulance was comin'
His heart had stopped beatin', but the meter was still runnin'
 
Life is hard
Can't buy happiness no matter what you do
Can't get to heaven on roller skates
Can't take a taxi cab to Timbuktu

Life is hard
Life is hard
Life is hard
Ain't no escaping when the rent comes due
Can't get to heaven on roller skates
Can't take a taxi cab to Timbuktu"
1,Georgia Satellites,Over And Over (LP Version),TRTXYGD12903CEEC37,1986,"Well what is the pain when the pain don't show
Poor Richard shoutin' out go man go
Hi ho silver-o take me away
On the arms of a dream I'll never find my way

Well over and over the tear that never mends
Over and over, over and over again

Well hell yes baby, hell no
What does it matter Wanda I don't know
Nothing forgiven nothing forgot
You can tell me it the truth but I know that it's not

Well over and over, the tear that never mends
Over and over, over and over again

Well over and over, it's the tear that never mends  
Over and over, over and over again

Well I said, over and over, the tear that never mends
Over and over, over and over again
Over and over again
Over and over again
Over and over again"
2,Connie Francis,Vacation,TRFUVWU128F4252EAD,1986,"V-A-C-A-T-I-O-N!  In the summer sun!
Put away the books, we're outta school!
The weather's warm, but we'll play it cool!
We're on vacation, havin' lots of fun!
V-A-C-A-T-I-O-N!  In the summer sun!
We're gonna grab a bite at the pizza stand
Write love letters in the sand
We're on vacation, and the world is ours!
V-A-C-A-T-I-O-N!  Under summer stars!
Yeah, we'll hop in our jalopy to a drive-in movie,
And have a look at the show
We're gonna hug and kiss, just like this
And I can't wait to go-oo-oo
We're gonna mash potato to a jukebox tune
Park your car 'neath an August moon
We're on vacation, till the start of the Fall!
V-A-C-A-T-I-O-N!  We're gonna have a ball!  Goooooo!
V-A-C-A-T-I-O-N!  Gonna have a ball!
Oh-ho, we'll hop in our jalopy to a drive-in movie,
And have a look at the show
We're gonna hug and kiss, just like this
And I can't wait to go-oo-oo
We're gonna mash potato to a jukebox tune
Park your car 'neath an August moon
We're on vacation, till the start of the Fall!
V-A-C-A-T-I-O-N!  We're gonna have a ball!
Yeah!  VACATION!  Gonna have a ball!   (fade)"
3,Clarence Carter,Strokin',TRGWHWK128F428C9F4,1986,"When I start makin' love 
I don't just make love
I be strokin' 
That's what I be doin', huh 
I be strokin' 

I stroke it to the east 
And I stroke it to the west 
And I stroke it to the woman that I love the best 
I be strokin' 

Let me ask you somethin'
What time of the day do you like to make love?
Have you ever made love just before breakfast?
Have you ever made love while you watched the late, late show?
Well, let me ask you this 
Have you ever made love on a couch?
Well, let me ask you this 
Have you ever made love on the back seat of a car?
I remember one time I made love on the back seat of a car 
And the police came and shined his light on me, and I said: 
""I'm strokin', that's what I'm doin', I be strokin""

I stroke it to the east 
And I stroke it to the west 
And I stroke it to the woman that I love the best 
I be strokin' 

Let me ask you something
How long has it been since you made love, huh? 
Did you make love yesterday?
Did you make love last week?
Did you make love last year?
Or maybe it might be that you plannin' on makin' love tonight 
But just remember, when you start making love 
You make it hard, long, soft, short 
And be strokin' 
I be strokin' 

I stroke it to the east 
And I stroke it to the west 
And I stroke it to the woman that I love the best, huh 
I be strokin' 

Now when I start making love to my woman 
I don't stop until I know she's sas-ified 
And I can always tell when she gets sas-ified 
'Cause when she gets sas-fied she start calling my name 
She'd say: ""Clarence Carter, Clarence Carter, Clarence Carter 
Clarence Carter, ooh shit, Clarence Carter"" 
The other night I was strokin' my woman 
And it got so good to her, you know what she told me 
Let me tell you what she told me, she said: 
""Stroke it, Clarence Carter, but don't stroke so fast 
If my stuff ain't tight enough, you can stick it up my...""
Whoo! 

I be strokin'
Ha ha ha ha
I be strokin' 

I stroke it to the east 
And I stroke it to the west 
And I stroke it to the woman that I love the best, huh 
I be strokin' 
I be strokin'
Ha ha ha ha
I be strokin', yeah! 
I be strokin' 

I stroke it to the north 
I stroke it to the south 
I stroke it everywhere 
I even stroke it with my
Whoo!

I be strokin' 
I be strokin'
Ha ha
I be strokin'"
4,Luther Vandross,I Gave It Up (When I Fell In Love),TRDQIQL128F427AE32,1986,"I GAVE IT UP (WHEN I FELL IN LOVE)
Luther Vandross and Marcus Miller
(album: GIVE ME THE REASON - 1986)

My friends told me all about it
They said I had to see for myself
But I never really cared much about love
I thought I could live without it
Until I met this one girl
And she was so fine
I knew she was the one who could change my mind

Chorus:
See, I used to be such a bad bad boy
And good times were my toy for joy
That was all I was thinking of
But I gave it up when I fell in love
I used to know the party people around the world
I gave it up when I found that girl
And she's the one treats me good enough
So I gave it up when I fell in love

I thought I was justified
To only see the world through my eyes
And that it was a waste of time talkin' 'bout love
But it only took a little time to make change my mind
'Cause when she said goodbye
See, I really thought I'd never stop crying

Repeat Chorus

Bridge:
Now, every night I dream about you and our new love
All of my friends say I'm such a different guy
And they wonder
Oh, how they wonder

Ad lib
I gave it up
Sho' nuff gave it up
That was all I was thinking of
But I gave it up when I fell in love

Fade"
5,The Moody Blues,I Just Don't Care,TRFNOQO128E07935B1,1986,"The indestructible has broken down
The undeniable is turned around
And I don't care my love
I just don't care
I love you

The unbelievable has all come true
I love the changes that you've put me through
And I don't care you see
I just don't care
I love you

I see the magic that we're making now
And a veil is lifted from my eyes somehow
And the most amazing thing that comes to light
Is the world looks different
To me overnight

My friends will tell you
That I've lost my cool
The lovesick schoolboy
Turning up for school
But I don't care, you know
I just don't care
I love you

I see the magic
That we're making now
And a veil is lifted
From my eyes somehow
And the most amazing thing
That comes to light
Is the world looks different
To me overnight

My friends will tell you
That I've lost my cool
The lovesick schoolboy
Turning up for school
But I don't care, you know
I just don't care
I love you

'Cause I don't care, you see
I just don't care
I love you
I love you"
6,Hallows Eve,Plea of the Aged,TRAQNMV128F934AB8B,1986,"Death is drawing closer I'm fighting for my life
I know not how to stop it live through this pain and strife
Awakened in the nighttime I'm fighting for my life
Death is drawing nearer I'll soon be cold as ice
No longer do I trifle bones growing too old
Death longing to reach and grasp my unrelenting soul
When I'm lying at my rest they'll look upon my face
Cry their tears of dreadful mourn in their weakened daily pace

Remember me, hear my plea time's drawing nigh for me to die
Remember me, hear my plea take from this heart the bitter part
The world they will destroy me or put me in the ground
Stand around my gravesite with their heads all hanging down
When I'm lying at my rest they'll look upon my face
Cry their tears of dreadful mourn in their weakened daily pace
Staring at the ceiling the tubes glow in the dark
Fearless thoughts invade my head to tear my mind apart
Trapped within this feeling I feel it deep inside
Knock of death upon my door and I've no will to hide

Take from me my very soul with wretched mourning death
Take mine eyes for I have seen the hell in which we live
Take now from one man on earth who loved this life so much
Take away everything for it's all cold to the touch
Remember me, hear my plea soon the darkness I will see
Remember me, hear my plea for now another..."
7,Randy Travis,There'll Always Be A Honky Tonk Somewhere (Album Version),TRNWWDJ128F92FE72F,1986,"There may no be a Superbowl in 2083
Cars and trains and video games will all be history
The world just keeps on changing, things come and then they go
Nothing lasts forever except one thing I know

There'll always be a honky tonk
With a jukebox in the corner
And someone crying in their beer
And one old hanger-oner
And a lady looking lonely
From a losing love affair
Yeah there'll always be a honky tonk somewhere
Yeah there'll always be a honky tonk somewhere

There may be factories on the moon and farming out in space
It seems there's nothing here on earth
That something won't replace
But as long as there's a broken heart there'll be a place to go
Where good ole boys meet good ole girls
And the wine and music flow"
8,This Mortal Coil,Morning Glory,TRKXDEC128F428E26A,1986,"I lit my purest candle close to my
Window, hoping it would catch the eye
Of any vagabond who passed it by
And I waited in my fleeting house

Before he came I felt him drawing near
As he neared I felt the ancient fear
That he had come to wound my door and jeer
And I waited in my fleeting house

""Tell me stories,"" I called to the Hobo;
""Stories of cold,"" I smiled at the Hobo;
""Stories of old,"" I knelt to the Hobo;
And he stood before my fleeting house

""No,"" said the Hobo, ""No more tales of time;
Don't ask me now to wash away the grime;
I can't come in 'cause it's too high a climb,""
And he walked away from my fleeting house#

""Then you be damned!"" I screamed to the Hobo;
""Leave me alone,"" I wept to the Hobo;
""Turn into stone,"" I knelt to the Hobo;
And he walked away from my fleeting house"
9,Diamanda Galas,Free Among The Dead,TRETTWJ128F4298C67,1986,"Sono la prova, I am the token, Soy la muestra,
 Sono la salva, I am the salvation, Soy la salvacion,
 Sono la carne maccllata, I am the butcher's meat, Soy la carne magullada,

 Sono la sanzione, I am the sanction, Soy la sancion,
 Sono il sacrificio, I am the sacrifice, Soy el sacrificio,
 Sono il Rango Nero, I am the Black Spider, Soy la araña negra,

 Sono il scherno, I am the scourge, Soy el azote,
 Sono la Santa Sede, I am the Holy Fool, Soy la tonta sagrada,
 Sono lè feci dal Signore, I am the shit of God, Soy la mierda de Dios,

 Sono lo segno, I am the sign, Soy la seña,
 Sono la pestilenza, I am the plague, Soy la plaga,
 Sono l'Antichristo. I am the Antichrist. Soy l'Antichristo"
